function_address,callsite,callers_or_enclosing_role,transport_builder,opcode_control,arguments,payload_construction,constants,response_size,consumer,observed_in_recovered_capture,arbitrary_read_dataflow,static_evidence
0x18005d598,0x18005d9ca,UsbSendDataToDeviceLock,A0_no_ack,dynamic,r8=dynamic;r9=dynamic;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x29e"",""rsp+0x28"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 86837; builder A0_no_ack
0x180061550,0x180061642,device_action_erase_app,A0_generic,0xa4,r8=0xa;r9=0x2;rcx=dynamic;rdx=dynamic,firmware slices/control,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x68"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,status/check result,no,no readback; mutating maintenance path,gfusb disassembly line 90125; builder A0_generic
0x1800655f8,0x1800656b4,A6 fixed production/OTP read,A0_generic,0xa6,r8=0xa;r9=0x3;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x48"":""0x8"",""rsp+0x50"":""0x2"",""rsp+0x68"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 93542; builder A0_generic
0x1800656f4,0x180065bb7,gfUpdatefirmware/ClearApp,A0_generic,0xa4,r8=0xa;r9=0x2;rcx=dynamic;rdx=0x7,firmware slices/control,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x90"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,status/check result,no,no readback; mutating maintenance path,gfusb disassembly line 93813; builder A0_generic
0x180067244,0x1800672aa,gf_do_communication_test,A0_generic,0x9a,r8=0x9;r9=0x5;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0xa"",""rsp+0x50"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 95010; builder A0_generic
0x180067328,0x18006745d,gf_download_config,A0_generic,0x90,r8=0x9;r9=0x0;rcx=dynamic;rdx=0x5,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1636"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x48"":""0x3""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 95102; builder A0_generic
0x1800683dc,0x180068481,gf_set_pwrdown_fdt_scanfreq,A0_generic,0x92,r8=0x9;r9=0x1;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1644"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x48"":""0x3"",""rsp+0x50"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 95976; builder A0_generic
0x180069880,0x180069a7a,gfresetMCUAndfingerprint,A0_generic,0xa2,r8=0xa;r9=0x1;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x15e9"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x12c"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x6"",""rsp+0x51"":""0x2""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 97149; builder A0_generic
0x180069880,0x180069bc5,gfresetMCUAndfingerprint,A0_generic,0xa2,r8=0xa;r9=0x1;rcx=0x1;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x15f7"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x12c"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x6""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 97221; builder A0_generic
0x180069c20,0x180069cf7,gfsetAndGetSPICLK,A0_generic,0xa0,r8=0xa;r9=0x0;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1619"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x48"":""0x6"",""rsp+0x50"":""0x2""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 97292; builder A0_generic
0x18006bb3c,0x18006bed5,updatefirmware,A0_generic,0xf0,r8=0xf;r9=0x0;rcx=dynamic;rdx=0x1,firmware slices/control,"{""rsp+0x30"":""0x1"",""rsp+0x38"":""0x3e8"",""rsp+0x40"":""0x7d0"",""rsp+0x48"":""0x5""}",operation-specific bounded output; no length-proportional arbitrary memory response,status/check result,no,no readback; mutating maintenance path,gfusb disassembly line 99073; builder A0_generic
0x18006bb3c,0x18006c15d,updatefirmware,A0_generic,0xf4,r8=0xf;r9=0x2;rcx=dynamic;rdx=dynamic,firmware slices/control,"{""rsp+0x28"":""0xc"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x7d0"",""rsp+0x48"":""0x5""}",operation-specific bounded output; no length-proportional arbitrary memory response,status/check result,no,no readback; mutating maintenance path,gfusb disassembly line 99201; builder A0_generic
